token,frequency,example_sentence,canonical_form,meaning
م,2505,,,
ل,2251,,,
ن,2084,,,
tips,2075,Umum mengetahui Hanis gemar berkongsi tips dan pengalaman menjaga Yusuf.,,
ي,2031,,,
و,1894,J : Ayat 3 surah Al-maidah أليوم أكملت لكم دينكم وأ تممت عليكم نعمتي و رضيت لكم الإسلام دينا) T : Apakah nama Surah yang tanpa Basmalah?,,
a,1743,"Me: Eeeeeeii A few hours later, hati saya masih tak tenang sebab soalan-soalan pelik Haikal tadi masih bermain-main dalam fikiran.",,
ه,1684,,,
ر,1538,,,
ا,1453,"Daripada Ummul Mukminin, Umm Salamah R.Anha bahawa Rasulullah SAW bersabda: مَا مِنْ عَبْدٍ تُصِيبُهُ مُصِيبَةٌ، فَيَقُولُ إِنَّا لِلَّهِ وَإِنَّا إِلَيْهِ رَاجِعُونَ، اللهُمَّ أْجُرْنِي فِي مُصِيبَتِي، وَأَخْلِفْ لِي خَيْرًا مِنْهَا، إِلَّا أَجَرَهُ اللهُ فِي مُصِيبَتِهِ، وَأَخْلَفَ لَهُ خَيْرًا مِنْه ا Maksudnya: ""Tiada daripada kalangan hamba (Allah) yang ditimpa suatu musibah, kemudian mengucapkan: ""Innā lillāhi wa innā ilaihi rājiʿun (Sesungguhnya kami milik Allah dan pastinya kami akan kembali kepada-Nya), Ya Allah!",,
ع,1366,,,
ب,1296,,,
أ,1134,,,
ف,1113,,,
ت,1065,,,
ك,1040,,,
c,995,"Hanya 1 cawan (91 gram) brokoli mentah menyediakan 77% daripada DV untuk vitamin K, 90% daripada DV untuk vitamin C dan sejumlah besar folat, mangan dan kalium.",,
ال,970,,,
tv,816,"Habitat cicak : Tempat yang hangat (disebabkan sekarang ni kan musim hujan sebab tu banyak cicak masuk rumah, dia orang sejuk kat luar tu), belakang almari, belakang tv, sekitar peti ais, sekitar lampu, belakang bingkai gambar dan cermin.",,
in,751,2 in 1 aktiviti ni.,,
ق,715,,,
س,685,,,
b,656,"3. BUCKET B CAFE, IPC SHOPPING CENTRE Kafe ini dimiliki oleh seorang ibu yang ternyata mahu memberikan kepuasan yang sama buat para ibu bapa untuk melihat anak-anak bergembira.",,
no,649,"Kalau tak cukup, no toys!",,
ح,630,,,
د,617,,,
s,595,"J Clin Endocrinol Metab 2009;94:1768-74. [5] Yin P, Lin Z, Reierstad S, et al.",,
diy,580,Apa kata cuba aktivi DIY di bawah ni.,,
info,554,"Untuk info selanjutnya anda boleh pergi ke laman web - Pameran Jelajah Asia One Piece ""The Great Era of Piracy"" One Piece ""The Great Era of Piracy"" Asia Tour Exhibition 3. Lucky Wednesday Peluang untuk bawa pulang hadiah sebanyak RM1.8 juta?",,
ة,530,,,
swt,507,Sebaliknya makan dengan tertib dan cermat sebagai tanda merendah diri dan bersyukur kepada Allah SWT.,,
إ,501,,,
