Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading tokenizer/base model: sail/Sailor2-3B-Chat
Loading weights:   0%|          | 0/387 [00:00<?, ?it/s]Loading weights: 100%|##########| 387/387 [00:00<00:00, 18428.86it/s]
C:\Users\User\Desktop\NLP\.venv-1\Lib\site-packages\torch\cuda\__init__.py:287: UserWarning: 
NVIDIA GeForce RTX 5090 with CUDA capability sm_120 is not compatible with the current PyTorch installation.
The current PyTorch install supports CUDA capabilities sm_37 sm_50 sm_60 sm_61 sm_70 sm_75 sm_80 sm_86 sm_90 compute_37.
If you want to use the NVIDIA GeForce RTX 5090 GPU with PyTorch, please check the instructions at https://pytorch.org/get-started/locally/

  warnings.warn(
trainable params: 26,685,440 || all params: 3,606,542,848 || trainable%: 0.7399
Training on 12000 sentences
Steps/epoch: 750, total optimizer steps: 1500
epoch 0 step 10/1500 loss=1.0616 elapsed=0.9min lr=2.22e-05
epoch 0 step 20/1500 loss=0.3527 elapsed=1.7min lr=4.44e-05
epoch 0 step 30/1500 loss=0.1714 elapsed=2.6min lr=6.67e-05
epoch 0 step 40/1500 loss=0.0856 elapsed=3.4min lr=8.89e-05
epoch 0 step 50/1500 loss=0.0540 elapsed=4.3min lr=9.97e-05
epoch 0 step 60/1500 loss=0.0311 elapsed=5.1min lr=9.90e-05
epoch 0 step 70/1500 loss=0.0245 elapsed=6.0min lr=9.83e-05
epoch 0 step 80/1500 loss=0.0265 elapsed=6.8min lr=9.76e-05
epoch 0 step 90/1500 loss=0.0231 elapsed=7.7min lr=9.69e-05
epoch 0 step 100/1500 loss=0.0201 elapsed=8.5min lr=9.62e-05
epoch 0 step 110/1500 loss=0.0198 elapsed=9.4min lr=9.55e-05
epoch 0 step 120/1500 loss=0.0173 elapsed=10.2min lr=9.48e-05
epoch 0 step 130/1500 loss=0.0113 elapsed=11.1min lr=9.42e-05
epoch 0 step 140/1500 loss=0.0161 elapsed=11.9min lr=9.35e-05
epoch 0 step 150/1500 loss=0.0096 elapsed=12.8min lr=9.28e-05
epoch 0 step 160/1500 loss=0.0123 elapsed=13.6min lr=9.21e-05
epoch 0 step 170/1500 loss=0.0137 elapsed=14.5min lr=9.14e-05
epoch 0 step 180/1500 loss=0.0112 elapsed=15.3min lr=9.07e-05
epoch 0 step 190/1500 loss=0.0112 elapsed=16.2min lr=9.00e-05
epoch 0 step 200/1500 loss=0.0117 elapsed=17.0min lr=8.93e-05
Saving checkpoint at step 200 -> trained_models\lora_checkpoint_partial
epoch 0 step 210/1500 loss=0.0092 elapsed=17.9min lr=8.87e-05
epoch 0 step 220/1500 loss=0.0104 elapsed=18.7min lr=8.80e-05
epoch 0 step 230/1500 loss=0.0101 elapsed=19.6min lr=8.73e-05
epoch 0 step 240/1500 loss=0.0090 elapsed=20.4min lr=8.66e-05
epoch 0 step 250/1500 loss=0.0097 elapsed=21.2min lr=8.59e-05
epoch 0 step 260/1500 loss=0.0060 elapsed=22.1min lr=8.52e-05
epoch 0 step 270/1500 loss=0.0090 elapsed=22.9min lr=8.45e-05
epoch 0 step 280/1500 loss=0.0074 elapsed=23.8min lr=8.38e-05
epoch 0 step 290/1500 loss=0.0071 elapsed=24.6min lr=8.32e-05
epoch 0 step 300/1500 loss=0.0090 elapsed=25.4min lr=8.25e-05
epoch 0 step 310/1500 loss=0.0075 elapsed=26.3min lr=8.18e-05
epoch 0 step 320/1500 loss=0.0067 elapsed=27.1min lr=8.11e-05
epoch 0 step 330/1500 loss=0.0101 elapsed=28.0min lr=8.04e-05
epoch 0 step 340/1500 loss=0.0073 elapsed=28.8min lr=7.97e-05
epoch 0 step 350/1500 loss=0.0064 elapsed=29.7min lr=7.90e-05
epoch 0 step 360/1500 loss=0.0082 elapsed=30.5min lr=7.84e-05
epoch 0 step 370/1500 loss=0.0058 elapsed=31.3min lr=7.77e-05
epoch 0 step 380/1500 loss=0.0066 elapsed=32.2min lr=7.70e-05
