step,epoch,loss,lr
10,0,0.2540,2.22e-05
20,0,0.1553,4.44e-05
30,0,0.0848,6.67e-05
40,0,0.0638,8.89e-05
50,0,0.0463,9.97e-05
60,0,0.0451,9.90e-05
70,0,0.0364,9.83e-05
80,0,0.0310,9.76e-05
90,0,0.0268,9.69e-05
100,0,0.0274,9.62e-05
110,0,0.0254,9.55e-05
120,0,0.0219,9.48e-05
130,0,0.0200,9.42e-05
140,0,0.0164,9.35e-05
150,0,0.0202,9.28e-05
160,0,0.0199,9.21e-05
170,0,0.0195,9.14e-05
180,0,0.0166,9.07e-05
190,0,0.0178,9.00e-05
200,0,0.0159,8.93e-05
210,0,0.0144,8.87e-05
220,0,0.0163,8.80e-05
230,0,0.0139,8.73e-05
240,0,0.0146,8.66e-05
250,0,0.0147,8.59e-05
260,0,0.0127,8.52e-05
270,0,0.0168,8.45e-05
280,0,0.0133,8.38e-05
290,0,0.0147,8.32e-05
300,0,0.0133,8.25e-05
310,0,0.0148,8.18e-05
320,0,0.0109,8.11e-05
330,0,0.0126,8.04e-05
340,0,0.0137,7.97e-05
350,0,0.0103,7.90e-05
360,0,0.0121,7.84e-05
370,0,0.0103,7.77e-05
380,0,0.0120,7.70e-05
390,0,0.0107,7.63e-05
400,0,0.0106,7.56e-05
410,0,0.0098,7.49e-05
420,0,0.0092,7.42e-05
430,0,0.0097,7.35e-05
440,0,0.0073,7.29e-05
450,0,0.0083,7.22e-05
460,0,0.0104,7.15e-05
470,0,0.0098,7.08e-05
480,0,0.0078,7.01e-05
490,0,0.0103,6.94e-05
500,0,0.0082,6.87e-05
510,0,0.0115,6.80e-05
520,0,0.0091,6.74e-05
530,0,0.0103,6.67e-05
540,0,0.0081,6.60e-05
550,0,0.0093,6.53e-05
560,0,0.0100,6.46e-05
570,0,0.0090,6.39e-05
580,0,0.0086,6.32e-05
590,0,0.0113,6.25e-05
600,0,0.0080,6.19e-05
610,0,0.0086,6.12e-05
620,0,0.0088,6.05e-05
630,0,0.0063,5.98e-05
640,0,0.0077,5.91e-05
650,0,0.0060,5.84e-05
660,0,0.0070,5.77e-05
670,0,0.0067,5.70e-05
680,0,0.0087,5.64e-05
690,0,0.0087,5.57e-05
700,0,0.0096,5.50e-05
710,0,0.0085,5.43e-05
720,0,0.0074,5.36e-05
730,0,0.0094,5.29e-05
740,0,0.0076,5.22e-05
750,0,0.0082,5.15e-05
760,1,0.0039,5.09e-05
770,1,0.0048,5.02e-05
780,1,0.0042,4.95e-05
790,1,0.0037,4.88e-05
800,1,0.0044,4.81e-05
810,1,0.0045,4.74e-05
820,1,0.0037,4.67e-05
830,1,0.0054,4.60e-05
840,1,0.0048,4.54e-05
850,1,0.0038,4.47e-05
860,1,0.0054,4.40e-05
870,1,0.0031,4.33e-05
880,1,0.0043,4.26e-05
890,1,0.0038,4.19e-05
900,1,0.0051,4.12e-05
910,1,0.0034,4.05e-05
920,1,0.0047,3.99e-05
930,1,0.0040,3.92e-05
940,1,0.0039,3.85e-05
950,1,0.0038,3.78e-05
960,1,0.0042,3.71e-05
970,1,0.0040,3.64e-05
980,1,0.0051,3.57e-05
990,1,0.0039,3.51e-05
1000,1,0.0046,3.44e-05
1010,1,0.0031,3.37e-05
1020,1,0.0046,3.30e-05
1030,1,0.0039,3.23e-05
1040,1,0.0056,3.16e-05
1050,1,0.0027,3.09e-05
1060,1,0.0030,3.02e-05
1070,1,0.0030,2.96e-05
1080,1,0.0028,2.89e-05
1090,1,0.0030,2.82e-05
1100,1,0.0032,2.75e-05
1110,1,0.0030,2.68e-05
1120,1,0.0039,2.61e-05
1130,1,0.0028,2.54e-05
1140,1,0.0052,2.47e-05
1150,1,0.0040,2.41e-05
1160,1,0.0034,2.34e-05
1170,1,0.0031,2.27e-05
1180,1,0.0029,2.20e-05
1190,1,0.0025,2.13e-05
1200,1,0.0040,2.06e-05
1210,1,0.0042,1.99e-05
1220,1,0.0043,1.92e-05
1230,1,0.0051,1.86e-05
1240,1,0.0035,1.79e-05
1250,1,0.0031,1.72e-05
1260,1,0.0033,1.65e-05
1270,1,0.0032,1.58e-05
1280,1,0.0049,1.51e-05
1290,1,0.0030,1.44e-05
1300,1,0.0033,1.37e-05
1310,1,0.0028,1.31e-05
1320,1,0.0037,1.24e-05
1330,1,0.0030,1.17e-05
1340,1,0.0037,1.10e-05
1350,1,0.0026,1.03e-05
1360,1,0.0036,9.62e-06
1370,1,0.0033,8.93e-06
1380,1,0.0038,8.25e-06
1390,1,0.0027,7.56e-06
1400,1,0.0025,6.87e-06
1410,1,0.0026,6.19e-06
1420,1,0.0025,5.50e-06
1430,1,0.0029,4.81e-06
1440,1,0.0036,4.12e-06
1450,1,0.0040,3.44e-06
1460,1,0.0028,2.75e-06
1470,1,0.0029,2.06e-06
1480,1,0.0034,1.37e-06
1490,1,0.0025,6.87e-07
1500,1,0.0033,0.00e+00
